Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
334.01001,335.70001,331.6,333.20001,333.20001,2019300,2019,12,24
334.6,336.45999,332.01001,332.63,332.63,3589900,2019,12,26
332.95999,333.82,326.01001,329.08999,329.08999,5036100,2019,12,27
329.07998,329.19,322.85998,323.30999,323.30999,4311500,2019,12,30
322.0,324.92001,321.08999,323.57,323.57,3713300,2019,12,31
326.1,329.98001,324.77999,329.80999,329.80999,4485800,2020,1,2
326.77999,329.85998,325.52999,325.89999,325.89999,3806900,2020,1,3
323.11999,336.35998,321.20001,335.82998,335.82998,5663100,2020,1,6
336.47,336.70001,330.29998,330.75,330.75,4703200,2020,1,7
331.48999,342.70001,331.04998,339.26001,339.26001,7104500,2020,1,8
342.0,343.42001,334.60998,335.66,335.66,4709300,2020,1,9
337.13,338.5,327.26998,329.04998,329.04998,4718300,2020,1,10
331.79998,340.85,331.51001,338.92001,338.92001,6290000,2020,1,13
344.39999,345.38,335.51998,338.69,338.69,7199400,2020,1,14
338.67999,343.17001,336.6,339.07,339.07,5158000,2020,1,15
343.5,343.55999,335.85,338.61999,338.61999,5016000,2020,1,16
341.0,341.57,337.38,339.67001,339.67001,6066500,2020,1,17
340.0,341.0,332.58999,338.10998,338.10998,14350300,2020,1,21
332.54998,336.29998,323.6,326.0,326.0,21730000,2020,1,22
326.04,349.88,325.01001,349.6,349.6,18200300,2020,1,23
348.45999,359.85,345.88,353.16,353.16,17939700,2020,1,24
345.95001,351.89999,341.01998,342.88,342.88,7709500,2020,1,27
345.88,352.39999,342.77999,348.51998,348.51998,6821600,2020,1,28
349.0,349.39999,338.54998,343.16,343.16,7643500,2020,1,29
341.1,348.20001,339.25,347.73999,347.73999,5328100,2020,1,30
347.39001,347.39001,340.98001,345.08999,345.08999,5230000,2020,1,31
347.23999,359.63,346.27999,358.0,358.0,6670600,2020,2,3
361.0,369.57,356.1,369.01001,369.01001,7161500,2020,2,4
375.13,375.25,362.29998,369.67001,369.67001,6437000,2020,2,5
369.6,371.54998,362.51001,366.95001,366.95001,3920400,2020,2,6
365.04,371.79998,363.57,366.76998,366.76998,4385200,2020,2,7
365.0,374.79998,362.51998,371.07,371.07,5294100,2020,2,10
373.75,378.10998,369.72,373.69,373.69,4772900,2020,2,11
377.17999,380.61999,375.88,380.01001,380.01001,4624800,2020,2,12
376.95999,385.36999,376.51001,381.39999,381.39999,4485400,2020,2,13
381.47,385.14999,379.42999,380.39999,380.39999,3736300,2020,2,14
379.29998,389.54,379.19,387.77999,387.77999,5173900,2020,2,18
388.11999,392.95001,384.89999,386.19,386.19,4896400,2020,2,19
386.55999,389.70001,376.67999,386.0,386.0,4079400,2020,2,20
385.32998,387.32,377.89999,380.07,380.07,3930100,2020,2,21
364.76001,372.82,361.0,368.70001,368.70001,6936400,2020,2,24
372.0,375.64999,357.72,360.08999,360.08999,6481200,2020,2,25
366.30999,382.0,365.0,379.23999,379.23999,8934100,2020,2,26
371.45999,391.55999,370.6,371.70999,371.70999,10967700,2020,2,27
364.20999,376.76998,356.79998,369.02999,369.02999,11168600,2020,2,28
373.10998,381.35998,364.5,381.04998,381.04998,6997900,2020,3,2
381.02999,393.51998,367.39999,368.76998,368.76998,8364600,2020,3,3
377.76998,384.01001,370.51001,383.79,383.79,5487300,2020,3,4
381.0,391.39999,368.64001,372.77999,372.77999,8747000,2020,3,5
367.70001,371.30999,356.85,368.97,368.97,8147200,2020,3,6
343.85998,357.47,341.72,346.48999,346.48999,7405500,2020,3,9
356.42999,364.54,347.85,364.13,364.13,7604400,2020,3,10
358.92001,362.98001,344.79,349.92001,349.92001,6036000,2020,3,11
326.5,335.72,307.32,315.25,315.25,12071600,2020,3,12
330.51001,336.42001,307.39001,336.29998,336.29998,9458200,2020,3,13
306.63,334.35,294.75,298.83999,298.83999,10559900,2020,3,16
306.19,322.89999,290.25,319.75,319.75,10013900,2020,3,17
302.39999,331.57998,300.0,315.47,315.47,12593600,2020,3,18
324.32998,348.51001,316.82,332.02999,332.02999,10616000,2020,3,19
342.30999,350.48999,332.0,332.82998,332.82998,10853800,2020,3,20
347.89001,366.10998,340.88,360.26998,360.26998,13449400,2020,3,23
369.98999,372.92999,353.02999,357.32,357.32,11638700,2020,3,24
361.01998,362.0,339.17001,342.39001,342.39001,8767200,2020,3,25
344.0,363.83999,341.73001,362.98999,362.98999,7229600,2020,3,26
359.08999,368.55999,353.0,357.11999,357.11999,7948800,2020,3,27
363.0,377.79998,361.17001,370.95999,370.95999,8622000,2020,3,30
367.92999,383.01001,366.44,375.5,375.5,9366500,2020,3,31
376.04998,380.23001,361.01998,364.07998,364.07998,6672500,2020,4,1
364.07998,370.98999,360.05999,370.07998,370.07998,4592500,2020,4,2
367.47,370.89999,357.51001,361.76001,361.76001,4860800,2020,4,3
365.22,380.29,361.70999,379.95999,379.95999,8183900,2020,4,6
380.0,381.32998,369.33999,372.27999,372.27999,7046400,2020,4,7
